Sample_name,line_no,Na-23,Mg-24,Al-27,K-39,Ca-43,Ca-44,Ti-47,Cr-52,Mn-55,Fe-57,Ni-60,Cu-63,Zn-66,Rb-85,Sr-88,Y-89,Zr-90,Nb-93,Ba-138,La-139,Ce-140,Pr-141,Nd-146,Sm-147,Eu-153,Gd-157,Tb-159,Dy-163,Ho-165,Er-166,Tm-169,Yb-172,Lu-175,Hf-178,Ta-181,Pb-208,Th-232,U-238
PST1-TREE-1 ( line 1 ),1,18698.24834,33148.59598,81964.42501,10414.49585,39020.92281,40503.74916,3645.045019,0,995.2419943,48385.8417,15.69909781,19.70986152,101.3636367,29.08416047,436.3137492,11.96962612,81.68474649,4.032094849,566.2670398,19.04608493,40.40956955,4.690614491,18.24623274,2.727660037,1.171003424,3.533043323,0.728150911,2.284498546,0.446171484,1.530193188,0.275224259,2.085344526,0.235540304,1.811591914,0.26951383,12.80838244,3.931004375,1.109064765
PST1-TREE-1 ( line 2 ),2,20195.91356,34423.72201,82891.34468,11472.66582,40573.7525,36664.96362,3785.028464,0,937.745861,48324.92081,17.77256356,26.53891213,107.9433174,29.11179387,436.3003504,10.96013958,77.28633707,4.215010394,548.7259148,15.64963139,39.54031633,4.414273775,20.27359193,4.243026725,0.895473206,2.311336754,0.388347153,3.007923086,0.396596875,0.973759301,0.311920827,0.7583071,0.094216122,2.214167895,0.179675886,14.48615778,3.625911498,1.37080405
PST1-TREE-1 ( line 3 ),3,17598.00279,34049.32753,75198.05146,10385.39838,36218.3941,35832.46648,3321.385153,0,857.6285123,45040.2315,17.77256356,20.53156843,105.494214,27.46069783,398.8998597,14.19770713,82.87161888,5.010295374,558.989226,18.51538906,40.88059346,3.696505681,17.23255314,3.63688005,1.646293048,2.641527718,0.432036207,2.094123667,0.495746093,1.808410131,0.229353549,2.274921301,0.329756426,1.610303924,0.179675886,13.42731785,2.933585355,0.998158288
PST1-TREE-1 ( line 4 ),4,19174.05204,31555.01752,80571.16116,10097.00094,39464.17991,34781.53753,3657.765759,0,939.7191732,47314.45859,15.69909781,19.79314263,90.01368745,28.15153299,420.8336799,12.54647557,73.13228372,5.288645117,501.3988757,16.45157181,36.05473939,3.911836109,16.47229344,5.455320075,0.895473206,3.632100613,0.485433941,3.045998062,0.347022265,1.251976245,0.275224259,1.706190976,0.188432243,1.811591914,0.449189716,12.99252851,3.285615597,1.08688347
PST1-TREE-1 ( line 5 ),5,17079.11771,29446.97096,79855.94624,9729.469074,33916.31693,33590.25079,3266.132897,0,911.9403383,46170.70329,15.40288842,22.96337669,104.7265846,29.664462,381.0973333,11.96962612,80.07897797,3.888943552,506.2489808,17.21223588,36.05473939,4.629604203,13.17783476,2.4245867,0.688825543,3.301909648,0.485433941,2.094123667,0.347022265,1.391084716,0.09174142,1.118502973,0.188432243,1.409015933,0.26951383,12.7981521,3.461630718,1.08688347
PST1-TREE-2 ( line 1 ),6,16572.53755,30545.54251,73776.09529,10344.50721,34522.57825,33112.15706,3245.779713,0,820.915321,39867.91081,30.21335805,21.53649376,91.05547023,25.44000497,382.1469053,12.25805085,74.82532227,4.358161691,500.6551575,14.68258559,34.89002572,3.552952063,14.44493425,1.818440025,1.102120869,0.297171868,0.582520729,1.332624152,0.347022265,1.251976245,0.133025058,0.7583071,0.094216122,1.610303924,0.089837943,14.42477575,3.109600476,1.020339584
PST1-TREE-2 ( line 2 ),7,18035.89495,32448.77407,73813.92961,10159.64868,34751.3561,32068.246,3169.234044,0,884.4794985,43989.00267,43.54278072,24.12931216,98.40278035,27.03238002,422.446001,12.25805085,76.97216496,4.37406739,504.0815735,16.27467319,34.94997422,3.8400593,18.49965264,2.121513362,1.102120869,3.962291578,0.533977335,3.807497577,0.277617812,1.391084716,0.137612129,1.327037426,0.141324182,1.409015933,0,12.29686557,2.933585355,0.798526631
PST1-TREE-2 ( line 3 ),8,20365.53531,29835.03689,79186.50465,10571.44487,37945.6669,33449.19121,3330.842747,0,876.2856787,45792.58155,41.73590342,24.53461354,104.817969,29.29141101,418.819395,12.25805085,86.15297194,5.081871022,516.0076261,17.62499933,34.54746287,3.875947705,18.70238856,3.939953387,0.750819842,3.962291578,0.631064123,1.903748788,0.694044531,2.225735546,0.321094969,1.516614201,0.188432243,1.811591914,0,14.37873923,4.283034618,1.153427356
PST1-TREE-2 ( line 4 ),9,18161.17832,33664.3695,73566.25483,10364.29877,35203.19237,34152.55918,3359.38145,0,901.2766111,46412.09658,36.1375459,27.48276466,107.2853493,29.08416047,403.0356197,12.47436939,77.32124508,3.896896402,479.6451183,17.04123388,36.61140401,4.450162179,15.96545365,3.63688005,0.964355761,2.641527718,0.485433941,2.855623183,0.495746093,1.947518603,0.09174142,0.7583071,0.329756426,0.805151962,0.359351773,13.29943864,4.048347789,0.998158288
PST1-TREE-2 ( line 5 ),10,17258.84732,35066.4166,81892.44273,9770.351996,33001.20552,34656.09275,3374.867568,0,895.1780744,46544.9316,15.9953072,19.3767371,91.01891644,27.87519893,390.1281182,13.55596211,71.73596327,4.453595888,450.6401083,16.45157181,34.38474552,4.163054942,16.21887354,4.243026725,1.171003424,3.632100613,0.436890547,3.617122698,0.545320703,0.278216943,0.09174142,2.085344526,0.282648365,2.415455885,0.359351773,10.89530935,4.048347789,1.064702174
PST1-TREE-3 ( line 1 ),11,15241.12317,29599.44884,73705.1155,8463.492492,34485.40185,33362.87117,3125.209223,0,852.7845317,41989.60665,9.478700564,18.64941545,85.18858826,24.95987453,397.0150965,15.35861665,73.09737571,4.37406739,483.3212111,15.39018008,35.96909868,4.159466102,12.16415516,1.818440025,0.688825543,1.981145789,0.24271697,3.23637294,0.396596875,1.112867773,0.366965678,2.274921301,0.089505315,0.986311153,0.179675886,12.81349761,3.050928769,1.486146785
PST1-TREE-3 ( line 2 ),12,16760.3863,36276.15674,81998.12274,10586.59289,37405.17922,36065.98675,3481.279322,0,883.8086594,48706.0199,16.29151659,15.98997216,89.37399627,28.26897497,426.8854669,14.13281156,73.58608787,4.453595888,523.6732359,17.91393375,38.01591168,3.552952063,15.15450997,3.576265382,1.102120869,2.311336754,0.291260365,2.094123667,0.446171484,0.695542358,0.183482839,0.341238195,0.141324182,1.409015933,0.26951383,10.22010708,3.461630718,1.242152537
PST1-TREE-3 ( line 3 ),13,16954.1953,31278.09287,80826.90862,8799.74287,37556.74454,33309.53521,3484.321238,0,853.6296147,43503.46778,14.18842991,17.98316661,84.80477355,22.16544628,414.2816713,12.61858175,74.68569022,3.411772564,520.1936971,16.56950422,36.12753399,4.482461744,16.44695145,4.546100062,1.308768532,3.301909648,0.388347153,2.855623183,0.441214023,0.556433886,0.275224259,2.274921301,0.047108061,1.811591914,0.089837943,10.82881215,2.927718184,1.020339584
PST1-TREE-3 ( line 4 ),14,16677.82238,33810.52236,75200.53482,8675.83903,33550.27237,34685.56789,3122.665075,0,802.942062,46480.80435,13.92184145,17.98316661,87.63769164,26.35536156,416.090508,12.40226321,66.32522151,4.922814026,489.2072094,17.27709871,35.84063761,3.405809603,19.23457034,5.455320075,0.964355761,2.311336754,0.485433941,4.759371971,0.74361914,1.251976245,0.137612129,1.137460651,0.094216122,0.805151962,0.449189716,11.58074195,3.402959011,0.975976993
PST1-TREE-3 ( line 5 ),15,18432.89985,31951.22186,76456.45405,9755.933949,38580.52544,37188.67362,3548.75455,0,899.4818989,47375.15045,16.58772599,18.86594633,94.43669503,27.42270189,446.1171976,12.10662787,84.98355356,4.612652884,516.0713734,15.7380807,40.02846839,5.347372296,18.49965264,4.243026725,1.033238315,2.641527718,0.388347153,2.665248304,0.644469921,1.391084716,0.183482839,0.947883875,0.094216122,1.610303924,0.449189716,11.56028128,2.874913648,1.064702174
PST1-PNW-4 ( line 1 ),16,17215.79137,36690.23283,91185.5338,8918.272027,42821.49492,39285.619,3664.845127,0,909.5444845,46263.68781,10.39694968,18.00537491,79.79690546,25.01859552,497.6400136,15.07740254,89.90558316,5.16935237,560.683841,19.75957603,40.3667492,4.669081448,22.80779092,6.06146675,0.619942989,3.301909648,0.388347153,2.665248304,0.649427382,1.808410131,0.1421992,2.274921301,0.376864486,3.220607847,0.359351773,11.37102003,4.341706325,0.975976993
PST1-PNW-4 ( line 2 ),17,17020.31061,34693.52418,92476.30802,8523.236847,43353.40343,38559.79378,3644.768481,0,951.2846126,47195.36513,15.10667902,17.711115,79.3217063,26.14811101,489.8151199,15.9354661,92.68077006,5.248880868,576.2222392,18.0436594,38.58114037,5.706256343,20.78043173,4.243026725,1.171003424,6.273628331,0.533977335,2.474873425,0.594895312,1.391084716,0.229353549,1.516614201,0.141324182,2.415455885,0.539027659,12.02064646,3.754989254,1.419602899
PST1-PNW-4 ( line 3 ),18,16160.51906,35137.31914,80948.03049,8275.878921,36567.28032,35119.97525,3522.317534,0,871.1324152,42980.8307,8.886281779,15.46807724,81.02145715,25.0496831,446.8987937,14.51497433,85.22790964,4.79556843,516.1776188,18.19697154,36.7784034,5.250473604,15.28121992,2.212435364,0.895473206,3.632100613,0.291260365,1.71337391,0.347022265,1.571925729,0.275224259,0.7583071,0.141324182,1.409015933,0.359351773,10.08199752,4.259565935,0.865070517
PST1-PNW-4 ( line 4 ),19,15318.06435,36142.11866,88043.29105,9222.406164,41920.68212,38814.71861,3611.19679,0,881.3126154,47608.75686,14.21805085,15.59022286,72.86996383,23.81654233,466.2913099,15.9354661,98.77221803,4.604700034,570.5487318,20.57920631,42.00248678,4.629604203,18.24623274,3.333806712,1.171003424,4.292482542,0.582520729,0.761499515,0.237958125,2.503952489,0.321094969,0.37915355,0.329756426,2.616743876,0.179675886,11.05387957,4.63506486,1.020339584
PST1-PNW-4 ( line 5 ),20,17733.07903,39808.28967,90047.37019,9307.459219,42512.64482,40122.32687,3717.774466,0,955.6189298,50546.93,15.10667902,17.16701178,90.63510174,26.99783827,518.0017089,16.0940997,88.38708467,5.423843564,577.7627983,20.05440707,40.34105698,5.207407518,18.77841453,4.273334059,1.239885978,5.613246402,0.679607517,1.35166164,0.594895312,0.973759301,0.09174142,0.7583071,0.146034988,2.818031866,0.089837943,12.60377569,3.584841303,1.020339584
PST1-PNW-5 ( line 1 ),21,9585.299967,14365.54535,51244.35948,4745.938118,23386.81618,23287.63813,2113.633874,0,523.3110833,27278.12861,14.81046963,11.21518881,49.03689816,16.403881,274.9699797,8.501318793,49.55192207,2.624440434,312.9088094,11.61634282,23.37563211,2.476299922,9.123116369,3.333806712,0.757708098,1.981145789,0.485433941,1.332624152,0.396596875,0.695542358,0.04587071,0.7583071,0.141324182,0.805151962,0.359351773,7.923396327,1.994838041,0.909433107
PST1-PNW-5 ( line 2 ),22,12440.46844,23707.1423,64736.18389,6816.00751,30255.87126,26613.76685,2832.908746,0,699.2233761,35045.31264,22.71926042,13.82466343,55.32414861,18.23804837,343.1653573,10.650083,64.64963697,3.475395363,394.4043876,11.4394442,28.41986999,3.481175253,11.65731536,4.546100062,0.39263056,2.971718683,0.194173576,1.903748788,0.545320703,0.973759301,0.183482839,0.568730325,0.188432243,0.603863971,0.089837943,9.631862675,1.994838041,0.70980145
PST1-PNW-5 ( line 3 ),23,11892.16954,21393.89294,60852.59114,6812.789764,26907.13542,26144.97183,2373.524118,0,575.8674018,31986.90091,9.774909957,13.54150768,62.58007428,18.61800771,329.2082838,10.02275922,63.53258061,3.260668418,377.0332553,13.9160249,29.41758428,3.696505681,15.20519395,4.546100062,1.033238315,3.301909648,0.485433941,2.665248304,0.396596875,1.251976245,0.137612129,0.947883875,0.047108061,1.388887134,0.26951383,8.900393549,3.520302426,0.687620154
PST1-PNW-5 ( line 4 ),24,11102.36017,15735.80893,55729.36521,4848.216066,25980.58511,25398.09294,2389.010236,0,572.1080895,30762.07045,12.94435046,12.86415469,53.73405911,17.5472132,311.6156718,10.23907777,57.42367862,3.395866865,337.1752719,12.7779771,26.37733903,3.014625992,10.89705566,2.727660037,0.895473206,4.292482542,0.485433941,1.332624152,0.495746093,0.236484402,0.183482839,0.7583071,0.094216122,2.012879905,0,7.667637891,2.581555112,0.510169792
PST1-PNW-5 ( line 5 ),25,10828.64015,19801.86023,59142.54754,6240.729083,27582.03009,27618.37773,2347.308333,0,605.8809149,31384.33379,12.73700388,11.0486266,46.78884058,17.36414188,292.7859048,9.568490278,64.05620078,3.57878241,365.813735,13.20843041,28.37704964,3.30173323,11.65731536,2.333664699,1.081456103,1.650954824,0.436890547,2.094123667,0.282575273,1.808410131,0.183482839,0.701434068,0.047108061,2.012879905,0.359351773,6.80317438,2.405539991,0.75416404
PST1-PNW-6 ( line 1 ),26,13935.42303,23839.24682,60456.48807,7169.018898,28311.2595,27675.74897,2729.317679,0,680.2395024,35156.84825,15.58061405,13.82466343,65.06573143,22.02382507,340.686581,11.08993071,65.10344111,3.737839406,388.7415048,15.44914629,28.07302511,3.947724514,13.17783476,3.333806712,0.757708098,1.981145789,0.339803759,1.71337391,0.545320703,0.83465083,0.183482839,1.327037426,0.235540304,1.409015933,0.26951383,8.184269931,2.698898526,0.75416404
PST1-PNW-6 ( line 2 ),27,12648.25215,21360.07754,63396.453,6975.524374,28116.79832,26397.4404,2609.244957,0,692.2797564,37380.46062,8.85666084,12.87525884,54.95861079,21.96510409,324.2864614,8.789743519,53.40925732,3.658310908,398.792325,13.26739662,27.31082278,3.8400593,13.88741047,1.181986016,1.239885978,2.311336754,0.291260365,1.142249273,0.545320703,1.947518603,0.09174142,0.37915355,0.047108061,1.811591914,0.26951383,8.332609823,2.757570233,0.820707926
PST1-PNW-6 ( line 3 ),28,12675.18327,22894.6716,60223.67828,6576.758116,25957.70732,26136.90126,2560.408378,0,676.2406047,36544.97417,11.46330349,12.08686438,66.80203606,21.31571903,347.3368474,9.301697407,62.31080021,3.133422821,394.2768931,13.38532904,32.62911094,3.373510039,10.89705566,5.758393412,1.033238315,3.301909648,0.145630182,2.474873425,0.297447656,0.556433886,0.04587071,1.516614201,0.188432243,0,0.449189716,9.749511555,2.346868284,0.909433107
PST1-PNW-6 ( line 4 ),29,12948.47875,22125.12148,62501.89792,7005.044519,28980.43472,26914.30797,2719.141087,0,660.7982384,36016.61144,7.109025423,14.696339,55.25104105,21.86493299,334.2730266,9.301697407,56.37643828,3.316338367,405.857648,13.14946421,27.96169219,3.122291206,16.47229344,1.515366687,0.757708098,1.981145789,0.194173576,1.522999031,0.495746093,0.695542358,0.366965678,0.7583071,0.141324182,2.012879905,0.179675886,8.854357031,2.405539991,1.020339584
PST1-PNW-6 ( line 5 ),30,14287.39306,28794.8653,62743.44521,6911.504996,30913.60759,29101.08233,2766.484362,0,795.9548813,37080.66573,9.182491172,13.64699708,55.23276416,23.29496178,365.6261965,11.17645812,63.88166072,4.37406739,423.3562748,12.73670076,31.60142241,3.875947705,16.47229344,2.4245867,1.171003424,1.452840245,0.291260365,2.474873425,0.495746093,0.695542358,0.09174142,1.137460651,0.282648365,2.495971082,0.179675886,10.4451745,3.109600476,0.687620154
PST1-PRIS-7 ( line 1 ),31,17091.54197,46359.82982,93953.71067,9103.877008,43221.85617,43250.55111,4226.714672,0,1064.377621,55736.19861,20.43844809,23.22987623,84.80477355,23.86835497,501.7757736,16.28157577,86.53696007,5.407937864,549.7246221,19.34091596,41.34733534,4.945422164,19.46264825,2.970118707,1.033238315,3.301909648,0.776694305,3.807497577,0.733704218,2.643060961,0.275224259,2.843651626,0.282648365,1.006439952,0.449189716,12.44009029,3.63764584,0.798526631
PST1-PRIS-7 ( line 2 ),32,17339.32864,46018.6936,98286.10932,9675.013455,47113.93942,46910.73137,4334.84096,0,1082.943309,54054.00345,18.57232892,20.63705783,92.75522107,23.063532,521.7221064,19.71383001,95.595589,5.805580354,582.8891417,18.98711872,45.80493435,4.654726086,19.51333223,5.152246737,1.102120869,7.59439219,0.388347153,2.665248304,0.545320703,1.530193188,0.09174142,1.706190976,0.235540304,2.616743876,0.26951383,12.54239367,3.461630718,0.842889221
PST1-PRIS-7 ( line 3 ),33,17333.93478,45879.4666,94435.26456,8983.790194,44954.84842,41918.20479,3949.402545,69.54049095,1019.239736,52293.48143,18.06877295,21.93069099,78.00577016,20.27601211,464.0269143,17.59390827,99.13875215,4.930766876,544.4229737,18.29131747,37.12524828,4.471695222,24.22694236,4.8491734,1.171003424,3.500024227,0.339803759,2.855623183,0.495746093,0.973759301,0.275224259,2.464498076,0.376864486,1.811591914,0.179675886,11.39659588,3.931004375,1.219971241
PST1-PRIS-7 ( line 4 ),34,16028.84015,45353.37531,92916.08447,8782.669859,44168.42454,41652.92857,4025.837599,0,1030.630932,51791.91474,16.29151659,21.01459883,87.54630718,20.27601211,465.6526342,16.54836864,83.95376723,5.010295374,534.0693539,18.22055803,40.5722869,4.198943347,22.04753123,4.091490056,1.446533641,2.971718683,0.582520729,2.665248304,0.495746093,2.225735546,0.114676775,1.611402588,0.235540304,2.012879905,0.26951383,9.642093012,2.81624194,1.020339584
PST1-PRIS-7 ( line 5 ),35,17409.79699,42195.40745,96010.66499,8764.382981,44091.21201,41752.5826,4074.065795,0,1055.630577,52287.52676,13.32942267,22.20829467,94.08943411,23.07389453,500.9271835,16.87284646,99.83691238,4.485407287,565.958928,17.92572699,40.29395459,4.952599845,22.90915888,5.152246737,1.239885978,3.301909648,0.631064123,3.23637294,0.495746093,1.391084716,0.137612129,1.895767751,0.376864486,2.818031866,0.179675886,13.08460155,3.402959011,1.317568941
PST1-PRIS-8 ( line 1 ),36,18384.50287,50068.35337,100444.7196,9835.180226,50025.13762,48303.43154,4477.921629,0,1090.627465,57401.21683,20.64579467,24.21259327,100.2670232,23.35022859,572.2846757,17.06753315,101.5823129,5.726051856,626.2213515,21.22783459,46.83262289,5.383260701,25.84882971,4.8491734,1.515416195,4.622673507,0.485433941,2.227386082,0.74361914,1.251976245,0.229353549,2.464498076,0.235540304,4.2270478,0.359351773,11.99507062,3.344287304,1.13124606
PST1-PRIS-8 ( line 2 ),37,18196.33522,47357.71987,101993.7176,9231.641438,47642.98821,47060.21242,4318.414613,0,1097.45347,53928.72629,18.06877295,22.73574167,99.24351733,23.41931211,523.7363913,17.81022682,101.4077729,5.407937864,585.1202963,20.490757,44.36188837,5.060265059,27.62276901,6.970686762,1.515416195,3.632100613,0.679607517,2.379685986,0.74361914,1.808410131,0.321094969,1.895767751,0.141324182,2.415455885,0.359351773,12.14852568,4.107019496,1.042520879
